name,slug,domain1,subdomain1,domain2,subdomain2,description,startDate,partnerIds,instructorIds,primaryLanguages,subtitleLanguages,specializations,certificates,courseType,id,s12nIds,stars,ratings_count,num_enrolled,difficulty,length,ins_stars,ins_ratings_count,ins_learners_count,ins_courses_count,content_rating,content_ratings_count
Analíticas y Métricas de Marketing,analticas-y-mtricas-de-marketing,business,marketing,data-science,data-analysis,"En este primer curso se comprenderá el comportamiento de los usuarios y el impacto en la medición de interacciones que se dan en las Páginas web, Landing page o búsquedas de información de navegadores tradicionales. También podremos distinguir las principales herramientas de la analítica que se utilizan en el mercado y la importancia en el uso de Google Analytics. También será relevante identificar los principales objetivos comerciales y de marca a través del uso de las herramientas y métricas de analítica web.

Los objetivos del curso son los siguientes:
1. Comprender el comportamiento de los usuarios y el impacto en la medición de interacciones que se dan en las Páginas web, Landing page o búsquedas de información de navegadores tradicionales.
2. Distinguir las principales herramientas de analítica que se utilizan en el mercado y la importancia en el uso de Google Analytics.
3. Identificar los principales objetivos comerciales y de marca a través del uso de las herramientas y métricas de analítica web.

Es importante aclarar que junto con los alcances de los cursos 1 y 2 podremos entender la importancia que tienen las métricas en Marketing, haciendo un enlace entre lo tradicional y lo digital, con la intención de proporcionar las habilidades para desarrollar y editar sitios web para hacerlos más atractivos, así como enlazarlos con el uso de las redes sociales adecuadas para lograr un match con la estrategia organizacional y alcanzar los objetivos que tenga la organización.",1606136591296,['62'],['53852607'],['es'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,4K10u7Y0Eeq7zA60zAySXw,[],4.6,57,5812,Beginner Level,29,4.69,26,5812,1,,
"Conditional Formatting, Tables and Charts in Microsoft Excel",conditional-formatting-tables-charts-microsoft-excel,business,business-essentials,data-science,data-analysis,"In this project, you will learn how to analyze data and identify trends using a variety of tools in Microsoft Excel. Conditional formatting and charts are two tools that focus on highlighting and representing data in a visual form. With conditional formatting, you can define rules to highlight cells using a range of color scales and icons and to help you analyze data and identify trends or outliers. You will then use PivotTables to create summaries of the data that focuses on specific relationships which you will represent as a line chart and column chart. Both conditional formatting and charts are two useful ways of visually analyzing data and exploring trends.",1635367555179,['565'],['74118222'],['en'],[],[],['VerifiedCert'],v2.ondemand,uqX-BjNVEeyZlQoNyXy15Q,[],4.6,12,,,,,,13437,,,
Ethical Issues in Data Science,ethical-issues-data-science,data-science,data-analysis,arts-and-humanities,philosophy,"Computing applications involving large amounts of data – the domain of data science – impact the lives of most people in the U.S. and the world. These impacts include recommendations made to us by internet-based systems, information that is available about us online, techniques that are used for security and surveillance, data that is used in health care, and many more.  In many cases, they are affected by techniques in artificial intelligence and machine learning.

This course examines some of the ethical issues related to data science, with the fundamental objective of making data science professionals aware of and sensitive to ethical considerations that may arise in their careers. It does this through a combination of discussion of ethical frameworks, examination of a variety of data science applications that lead to ethical considerations, reading current media and scholarly articles, and drawing upon the perspectives and experiences of fellow students and computing professionals.

Ethical Issues in Data Science can be taken for academic credit as part of CU Boulder’s Master of Science in Data Science (MS-DS) degree offered on the Coursera platform. The MS-DS is an interdisciplinary degree that brings together faculty from CU Boulder’s departments of Applied Mathematics, Computer Science, Information Science, and others. With performance-based admissions and no application process, the MS-DS is ideal for individuals with a broad range of undergraduate education and/or professional experience in computer science, information science, mathematics, and statistics. Learn more about the MS-DS program at https://www.coursera.org/degrees/master-of-science-data-science-boulder.",1616430228048,['71'],['70772098'],['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,Tzwgu-iwEeqaeQq11Iy8uw,['P_jkuKbLEeue7A7k0jX4BQ'],4.6,18,,Beginner Level,24,5.0,12,1392,1,,
Mastering SQL Joins,mastering-sql-joins,data-science,data-analysis,information-technology,data-management,"In this 2-hour long project-based course, you will understand how to use SQL joins like INNER JOIN, LEFT JOIN, and RIGHT JOIN to get a desired result set. In addition, you will learn how to use SQL Joins with the WHERE clause and with aggregate functions. By extension, you will learn how to join more than two tables in the database.

Note: You do not need to be a data administrator or data analyst expert to be successful in this guided project, just you have to be familiar with querying databases using SQL SELECT statement to get the most of this project. If you are not familiar with SQL and want to learn the basics, start with my previous guided projects titled “Performing Data definition and Manipulation in SQL"", “Querying Databases using SQL SELECT statement” and “Performing Data Aggregation using SQL Aggregate Functions”",1602527744064,['565'],['40353561'],['en'],[],[],['VerifiedCert'],v2.ondemand,0rCZLwX0Eeu-fhI6VUjVxQ,[],4.3,72,3534,,,4.59,5,20863,,,
Connect an App to a Cloud SQL for PostgreSQL Instance,googlecloud-connect-an-app-to-a-cloud-sql-for-postgresql-instance-mhiqu,data-science,data-analysis,information-technology,cloud-computing,"This is a self-paced lab that takes place in the Google Cloud console. In this lab you will create a Kubernetes cluster and deploy a simple application to that cluster. Then, connect the application to the supplied Cloud SQL for PostgreSQL database instance and confirm that it is able to write to and read from it.",1648750156948,['443'],['22997770'],['en'],[],[],['VerifiedCert'],v2.ondemand,vlKqA6kyEeyjPxJkzIUqCw,[],,,,,,,,,,,
Getting Started with AI using IBM Watson,ai-with-ibm-watson,data-science,machine-learning,computer-science,algorithms,"In this course you will learn how to quickly and easily get started with Artificial Intelligence using IBM Watson. You will understand how Watson works, become familiar with its use cases and real life client examples, and be introduced to several of Watson AI services from IBM that enable anyone to easily apply AI and build smart apps. You will also work with several Watson services to demonstrate AI in action.
 
This course does not require any programming or computer science expertise and is designed for anyone whether you have a technical background or not.",1563300572484,['348'],['28513748'],['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'ko', 'de', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,GdR9t4MnEem1fhKdUV_ohA,"['5w9v9Jd_EemkYApdOSqZTg', 'child~vNdm1K0aEeupbwow02JDpQ']",4.5,2405,34070,Beginner Level,11,4.5,393,1066954,31,94%,5149
Bayesian Statistics: Techniques and Models,mcmc-bayesian-statistics,data-science,probability-and-statistics,math-and-logic,math-and-logic,"This is the second of a two-course sequence introducing the fundamentals of Bayesian statistics. It builds on the course Bayesian Statistics: From Concept to Data Analysis, which introduces Bayesian methods through use of simple conjugate models. Real-world data often require more sophisticated models to reach realistic conclusions. This course aims to expand our “Bayesian toolbox” with more general models, and computational techniques to fit them. In particular, we will introduce Markov chain Monte Carlo (MCMC) methods, which allow sampling from posterior distributions that have no analytical solution. We will use the open-source, freely available software R (some experience is assumed, e.g., completing the previous course in R) and JAGS (no experience required). We will learn how to construct, fit, assess, and compare Bayesian statistical models to answer scientific questions involving continuous, binary, and count data. This course combines lecture videos, computer demonstrations, readings, exercises, and discussion boards to create an active learning experience. The lectures provide some of the basic mathematical development, explanations of the statistical modeling process, and a few basic modeling techniques commonly used by statisticians. Computer demonstrations provide concrete, practical walkthroughs. Completion of this course will give you access to a wide range of Bayesian analytical tools, customizable to your data.",1491242580570,['56'],['18572916'],['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'de', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,w8XUd6IPEeabYQqQ7YU7Bg,['5vvJ8YXOEeuCmw6rrH7X1w'],4.8,438,48504,Intermediate Level,30,4.95,66,48504,1,94%,2644
Relational database systems,relational-database,data-science,data-analysis,,,"Welcome to the specialization course Relational Database Systems. This course will be completed on six weeks, it will be supported with videos and various documents that will allow you to learn in a very simple way how several types of information systems and databases are available to solve different problems and needs of the companies. 

Objective:

A learner will be able to design, test, and implement analytical, transactional or NoSQL database systems according to business requirements by programming reliable, scalable and maintainable applications and resources using SQL and Hadoop ecosystem.

Programming languages:

For course 1 you will use the MYSQL language.

Software to download:
MySQL
Workbench 

In case you have a Mac / IOS operating system you will need to use a virtual Machine (VirtualBox, Vmware).",1541442114243,['58'],['36738630'],['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'de', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,R8rsoKfPEeiS7RI0Mi1tOA,['CeWkvafJEeiCHgp4KfufxA'],4.4,415,20427,Intermediate Level,15,4.3,121,33244,4,91%,1102
Create Charts and Dashboard using Google Sheets,charts-dashboard-google-sheets,business,business-essentials,data-science,data-analysis,"In this 2-hour long project-based course, you will learn how to create effective charts and a dynamic dashboard to visualize data sets. You will be able to work with vlookups, pivot tables and basic formulas and be able to create dynamic charts, sparklines, and a robust, dynamic dashboard to present the data.

By the end of the project you will be able to:
- Understand the terminologies of spreadsheets
- Work with basic formulas in Google Sheets
- Create 8 Basic Charts for visualizing data
- Generate Dynamic Charts from a dropdown list
- Generate Sparklines to represent data
- Build a dashboard and introduce Basic and Advanced Charts
- Use Slicers to filter data and create a robust and dynamic dashboard

Note: If you don't have a Google account, you will need to create one to be able to complete the content.",1596153389680,['565'],['40617531'],['en'],[],[],['VerifiedCert'],v2.ondemand,E-XF1tHmEeqC9wrK2ukh8Q,[],4.7,408,12022,,,4.6,57,118428,,,
Capstone:  Create Value from Open Data,strategic-business-analytics-capstone,business,business-strategy,data-science,data-analysis,"The Capstone project is an individual assignment.
Participants decide the theme they want to explore and define the issue they want to solve. Their “playing field” should provide data from various sectors (such as farming and nutrition, culture, economy and employment, Education & Research, International & Europe, Housing, Sustainable, Development & Energies, Health & Social, Society, Territories & Transport). Participants are encouraged to mix the different fields and leverage the existing information with other (properly sourced) open data sets.

Deliverable 1 is the preliminary preparation and problem qualification step. The objectives is to define the what, why & how. What issue do we want to solve? Why does it promise value for public authorities, companies, citizens? How do we want to explore the provided data? 

For Deliverable 2, the participant needs to present the intermediary outputs and adjustments to the analysis framework. The objectives is to confirm the how and the relevancy of the first results. 

Finally, with Deliverable 3, the participant needs to present the final outputs and the value case. The objective is to confirm the why. Why will it create value for public authorities, companies, and citizens.

Assessment and grading: the participants will present their results to their peers on a regular basis. An evaluation framework will be provided for the participants to assess the quality of each other’s deliverables.",1458926904752,['223'],['9316917'],['en'],"['fr', 'pt-PT', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.capstone,ow0AdTeOEeWnxw5wP_KHTw,['idRxikeyEeW57gqKtBwG2w'],4.0,44,3367,,11,,,70722,3,,
Getting Started with Power BI Desktop,power-bi-desktop,business,business-essentials,data-science,data-analysis,"In this 2-hour long project-based course, you will learn the basics of using Power BI Desktop software. We will do this by analyzing data on credit card defaults with Power BI Desktop. Power BI Desktop is a free Business Intelligence application from Microsoft that lets you load, transform, and visualize data. You can create interactive reports and dashboards quite easily, and quickly. We will learn some of the basics of Power BI by importing, transforming, and visualizing the data.

This course is aimed at learners who are looking to get started with the Power BI Desktop software. There are no hard prerequisites and any competent computer user should be able to complete the project successfully.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1591983998010,['565'],['7545245'],['en'],[],[],['VerifiedCert'],v2.ondemand,TgE2-qxoEeq-wAoHI0mS5w,[],4.7,2658,47958,,,4.69,251,197853,,,
Build a Clustering Model using PyCaret,build-clustering-model-using-pycaret,data-science,machine-learning,computer-science,design-and-product,"In this 1-hour long project-based course, you will create an end-to-end clustering model using PyCaret a low-code Python open-source Machine Learning library.
The goal is to build a model that can segment a wholesale customers based on their historical purchases.
You will learn how to automate the major steps for building, evaluating, comparing and interpreting Machine Learning Models for clustering. 
Here are the main steps you will go through: frame the problem, get and prepare the data, discover and visualize the data, create the transformation pipeline, build, evaluate, interpret and deploy the model.
This guided project is for seasoned Data Scientists who want to build a accelerate the efficiency in building POC and experiments by using a low-code library. It is also for Citizen data Scientists (professionals working with data) by using the low-code library PyCaret to add machine learning models to the analytics toolkit.
To be successful in this project, you should be familiar with Python and the basic concepts on Machine Learning.",1618324413199,['565'],['312443'],['en'],[],[],['VerifiedCert'],v2.ondemand,JhTaMpD1EeunJg5gG-tWgw,[],,,,,,,,364,,,
Statistical Analysis using Python Numpy,statistical-analysis-using-python-numpy,data-science,data-analysis,computer-science,algorithms,"By the end of this project you will use the statistical capabilities of the Python Numpy package and other packages to find the statistical significance of student test data from two student groups.

The T-Test is well known in the field of statistics. It is used to test a hypothesis using a set of data sampled from the population. To perform the T-Test, the population sample size, the mean, or average, of each population, and the standard deviation are all required.  These will all be calculated in this project.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1606081882348,['565'],['60634829'],['en'],[],[],['VerifiedCert'],v2.ondemand,lRpwBidlEeuSmQpDYG90RQ,[],,,,,,,,90684,,,
Introduction to Neurohacking In R,neurohacking,data-science,data-analysis,life-sciences,health-informatics,"Neurohacking describes how to use the R programming language (https://cran.r-project.org/) and its associated package to perform manipulation, processing, and analysis of neuroimaging data. We focus on publicly-available structural magnetic resonance imaging (MRI). We discuss concepts such as inhomogeneity correction, image registration, and image visualization.

By the end of this course, you will be able to:

Read/write images of the brain in the NIfTI (Neuroimaging Informatics Technology Initiative) format
Visualize and explore these images
Perform inhomogeneity correction, brain extraction, and image registration (within a subject and to a template).",1467039771648,['8'],"['2888342', '19543713', '1349628']",['en'],"['fr', 'pt-PT', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,jIaMzuYjEeWomRIq0eOZbw,['KmN5meEQEeqsKg60m_UZEQ'],4.6,268,20499,Intermediate Level,18,4.51,35,20499,1,,
Conducting Exploratory Data Analysis,conducting-exploratory-data-analysis,data-science,data-analysis,computer-science,algorithms,"Conduct exploratory data analysis with a systematic approach to investigate different aspects of your data: comparisons, relationships, compositions, and distributions. This guided project gives you a framework so you can conduct your own exploratory data analysis and make your work more professional and organized. The language is Python and the libraries used are seaborn, pandas, and matplotlib.",1653089977093,['565'],['1914583'],['en'],[],[],['VerifiedCert'],v2.ondemand,VDa368y9EeyuyAr6XGR-rw,[],,,,,,,,,,,
مقدمة الى تطوير المنتجات الجديدة للشركات الصغيرة والمتوسطة,new-product-dev-sme-arabic,business,entrepreneurship,data-science,data-analysis,"في هذه الدورة التدريبية القائمة على المشروع والتي تستغرق أقل ساعة واحدة.

في نهاية هذا المشروع سوف تتمكن من عمل خطة إنتاج, و إطلاق المنتج من خلال تعلم التخطيط بأثر رجعي, و سوف تفهم كيفية, و سبب عمل مواصفات المنتج. 
خلال نهاية هذا المشروع سوف تتعلم خطوات تطوير المنتجات الجديدة للشركات الصغيرة والمتوسطة.
سوف تتعلم كيفية القدوم بفكرة منتج جديد, و كيفية تقييمه باستخدام نموذج استخراج أفكار ,و مصادر على الإنترنت مثل Google Trends و Amazon.
سوف تستخدم  طرقا تساعد على تقييم المنتج من خلال معرفة تجزئة السوق لمنتجك ,احتمالات زيادة المبيعات , و من خلال معرفة المنتجات المنافسة في السوق.
أيضا سوف تتعلم كيفية تقييم الموردين , و تقييم سعر منتجك من خلال تحليل أسعار مكونات المنتج , و معدل الإنتاج.
هذا المشروع موجه إلى الأشخاص, و الشركات الصغيرة و المتوسطة  الذين يرغبون في تحويل أفكارهم الى منتجات تحقق المبيعات. و هو أيضا موجه لمن لديه أفكار و يريد تعلم طريقة تطويرها إلى منتجات.


ملاحظة: تعمل هذه الدورة التدريبية بشكل أفضل للمتعلمين المقيمين في منطقة أمريكا الشمالية. نعمل حاليًا على توفير نفس التجربة في مناطق أخرى.",1604089817010,['565'],['26548386'],['ar'],[],[],['VerifiedCert'],v2.ondemand,iijbvxMQEeugogqeKrxxYw,[],4.8,35,,,,,,7531,,,
Uso de bancos de dados com Python,python-databases-pt,computer-science,software-development,data-science,data-analysis,"Este curso apresentará aos alunos os conceitos básicos da Linguagem de Consulta Estruturada (SQL), bem como o design básico do banco de dados para armazenar dados como parte de um esforço de coleta, análise e processamento de dados em várias etapas.  O curso usará o SQLite3 como banco de dados.  Também criaremos rastreadores da Web e processos de coleta e visualização de dados em várias etapas.  Usaremos a biblioteca D3.js para fazer a visualização básica de dados.  Este curso abordará os capítulos 14 e 15 do livro “Python para Todos”. Para ter êxito neste curso, você deve estar familiarizado com o material abordado nos capítulos 1 a 13 do livro e os três primeiros cursos desta especialização. Este curso aborda o Python 3.",1612814754536,['3'],['122340'],['pt-BR'],"['fr', 'pt', 'ko', 'ru', 'en', 'es']",[],['VerifiedCert'],v2.ondemand,Zluvox_SEeubjRIZp8mIlw,[],,,,,15,,,3366367,47,,
Mastering Data Analysis with Pandas: Learning Path Part 2,mastering-data-analysis-with-pandas-learning-path-part-2,data-science,data-analysis,data-science,probability-and-statistics,"In this structured series of hands-on guided projects, we will master the fundamentals of data analysis and manipulation with Pandas and Python. Pandas is a super powerful, fast, flexible and easy to use open-source data analysis and manipulation tool. This guided project is the second of a series of multiple guided projects (learning path) that is designed for anyone who wants to master data analysis with pandas.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1630980673334,['565'],['48777395'],['en'],[],[],['VerifiedCert'],v2.ondemand,8qnGQAtZEey6IAo7CGAsSQ,[],4.5,11,,,,,,61693,,,
Introduction to SQL Window Functions,introduction-to-sql-window-functions,data-science,data-analysis,information-technology,data-management,"Welcome to this project-based course Introduction to SQL Window Functions. This is a hands-on project that introduces SQL users to the world of window functions. In this project, you will learn how to explore and query the project-db database extensively. We will start this hands-on project by retrieving the data in the table in the database.

By the end of this 2-hour-and-a-half-long project, you will be able to use different window functions to retrieve the desired result from a database. In this project, you will learn how to use SQL window functions like ROW_NUMBER(), LEAD(), LAG(), and FIRST_VALUE() to manipulate data in the project-db database. These window functions will be used together with the OVER() clause to query this database.",1630979479249,['565'],['40353561'],['en'],[],[],['VerifiedCert'],v2.ondemand,cqZ2Iv7LEeuRCQ5nvRqgMw,[],,,,,,,,20863,,,
Entendiendo un proceso de MLOps con Azure Databricks,mlops-databricks,data-science,machine-learning,computer-science,algorithms,"En este proyecto, vamos a comprender el concepto de MLOps y su función dentro de un proceso de Data Science, enfocado con la herramienta de Azure Databricks.",1649190925037,['565'],['546565'],['es'],[],[],['VerifiedCert'],v2.ondemand,teRyI4EQEeyoNA5LwAhmgw,[],,,,,,,,7732,,,
Fundamentals of Big Data,fundamentals-of-big-data,information-technology,data-management,data-science,data-analysis,"Welcome to Fundamentals of Big Data, the fourth course of the Key Technologies of Data Analytics specialization. By enrolling in this course, you are taking the next step in your career in data analytics. This course is the fourth of a series that aims to prepare you for a role working in data analytics. In this course, you will be introduced to many of the core concepts of big data. You will learn about the primary systems used in big data. We’ll go through phases of a common big data life cycle. This course covers a wide variety of topics that are critical for understanding big data and are designed to give you an introduction and overview as you begin to build relevant knowledge and skills.",1617638456070,['527'],['77390148'],['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,9XLmYH6FEeuttw4NADkWXw,['lyxvsI59EeuSYgr2rFLGgw'],,,,,12,,,2515,10,,
Creating New BigQuery Datasets and Visualizing Insights,gcp-creating-bigquery-datasets-visualizing-insights,information-technology,data-management,data-science,data-analysis,"This is the second course in the Data to Insights course series. Here we will cover how to ingest new external datasets into BigQuery and visualize them with Google Data Studio. We will also cover intermediate SQL concepts like multi-table JOINs and UNIONs which will allow you to analyze data across multiple data sources. 

Note: Even if you have a background in SQL, there are BigQuery specifics (like handling query cache and table wildcards) that may be new to you.

After completing this course, enroll in the Achieving Advanced Insights with BigQuery course.

>>> By enrolling in this specialization you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",1509996351584,['443'],['22997770'],['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,atkdXbKeEeemqw5WgBHkCA,['Ra4cH7UNEeeYzRI7sB4MMA'],4.6,1583,20713,Beginner Level,9,4.68,215,1678326,925,,
Accounting Data Analytics with Python,accounting-data-analytics-python,data-science,data-analysis,business,finance,"This course focuses on developing Python skills for assembling business data. It will cover some of the same material from Introduction to Accounting Data Analytics and Visualization, but in a more general purpose programming environment (Jupyter Notebook for Python), rather than in Excel and the Visual Basic Editor. These concepts are taught within the context of one or more accounting data domains (e.g., financial statement data from EDGAR, stock data, loan data, point-of-sale data).
The first half of the course picks up where Introduction to Accounting Data Analytics and Visualization left off: using in an integrated development environment to automate data analytic tasks. We discuss how to manage code and share results within Jupyter Notebook, a popular development environment for data analytic software like Python and R. We then review some fundamental programming skills, such as mathematical operators, functions, conditional statements and loops using Python software. 
The second half of the course focuses on assembling data for machine learning purposes.  We introduce students to Pandas dataframes and Numpy for structuring and manipulating data. We then analyze the data using visualizations and linear regression. Finally, we explain how to use Python for interacting with SQL data.",1573599709551,['17'],"['35891395', '27764319']",['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,wBp37bIYEemRtxIG3uYysg,['lXxfKrybEeq-mRKs-0yHsQ'],4.2,61,8802,Intermediate Level,41,4.0,18,39586,5,,
Nursing Informatics Training and Education,training-others-nursing-informatics,life-sciences,health-informatics,data-science,data-analysis,"In this fourth of our five courses, I will go deeper into the training and education leadership skills that are helpful for nursing informatics leaders. I will also guide you through the process of preparing a course document or syllabus for the nursing informatics specialty both in academic settings and in practice or industry.
Following are the course objectives:
1. Describe relevant nursing informatics course development in clinical and academic settings to understand similarities and differences in informatics teaching and education across settings.
2. Describe informatics education and training needs for diverse participants with various experience levels to enable development of appropriate training and education materials.
3. Develop a prototype course syllabus and introductory recorded message to apply learning in a simulated setting.
4. Describe the benefits of formal and informal mentoring for nursing informaticians to advance career opportunities and support the nursing informatics specialty.",1543865705019,['50'],['2608269'],['en'],"['fr', 'pt-PT', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,HeVJpWQqEeiyMhJxqdQ2EA,['vxaZAWObEeisgg7XKSzwFg'],4.8,68,3853,Intermediate Level,21,4.3,16,37938,4,,
مجموعة أدوات عالم البيانات,data-scientists-tools-ar,data-science,data-analysis,math-and-logic,math-and-logic,ستتلقى في هذه الدورة التدريبية مقدمة عن الأدوات الرئيسية والأفكار الخاصة بمجموعة أدوات عالم البيانات. تقدم الدورة التدريبية نظرة عامة عن البيانات والاستفسارات والأدوات التي يعمل عليها علماء البيانات ومحللو البيانات. هناك عنصران لهذه الدورة التدريبية. الأول هو مقدمة نظرية عن الأفكار الكامنة وراء تحويل البيانات إلى معلومات قابلة للتطبيق. والثاني هو مقدمة عملية عن الأدوات التي سيتم استخدامها في البرنامج مثل التحكم في النُسَخ ولغة Markdown وGit وGitHub وR وRStudio.,1549649127646,['8'],"['694443', '685384', '688901']",['ar'],"['fr', 'pt-PT', 'zh-CN', 'el', 'it', 'pt-BR', 'vi', 'ko', 'de', 'ru', 'tr', 'en', 'he', 'es', 'ja']",[],['VerifiedCert'],v2.ondemand,uSZANPzXEeiXNgoYBmURKA,[],4.8,54,1733,,6,4.41,25,1462590,32,,
Serverless Data Processing with Dataflow: Develop Pipelines em Português Brasileiro,developing-pipelines-on-dataflow-pt,data-science,data-analysis,,,"In this second installment of the Dataflow course series, we are going to be diving deeper on developing pipelines using the Beam SDK. We start with a review of Apache Beam concepts. Next, we discuss processing streaming data using windows, watermarks and triggers. We then cover options for sources and sinks in your pipelines, schemas to express your structured data, and how to do stateful transformations using State and Timer APIs. We move onto reviewing best practices that help maximize your pipeline performance. Towards the end of the course, we introduce SQL and Dataframes to represent your business logic in Beam and how to iteratively develop pipelines using Beam notebooks.",1642524950894,['443'],['22997770'],['pt-BR'],['en'],[],"['VerifiedCert', 'Specialization']",v2.ondemand,AS4ASS0uEeykCg4HPggu6Q,['MgGAlS0tEeyV8xJl3aOM8Q'],,,,Advanced Level,19,,,1678326,925,,
Logistic Regression for Classification using Julia,logistic-regression-classification-julia,data-science,machine-learning,data-science,data-analysis,"This guided project is about book genre classification using logistic regression in Julia. It is ideal for beginners who do not know what logistic regression is because this project explains these concepts in simple terms.

While you are watching me code, you will get a cloud desktop with all the required software pre-installed. This will allow you to code along with me. After all, we learn best with active, hands-on learning.

Special features:

1) Simple explanations of important concepts.
2) Use of images to aid in explanation.
3) Use a real world dataset.

Note: This project works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1610755288485,['565'],['27241062'],['en'],[],[],['VerifiedCert'],v2.ondemand,xFxkUT7JEeuHtw6H03Fn9w,[],,,,,,,,16811,,,
Introduction to Data Analysis using Microsoft Excel,introduction-data-analysis-microsoft-excel,business,business-essentials,data-science,data-analysis,"In this project, you will learn the foundation of data analysis with Microsoft Excel using sales data from a sample company. You will learn how to use sorting and filtering tools to reorganize your data and access specific information about your data. You will also learn about the use of functions like IF and VLOOKUP functions to create new data and relate data from different tables. Finally, you will learn how to create PivotTables to summarize and look at comparisons within your data. These skills will help you efficiently perform data analysis on many different types of data and give you the foundation to expand your toolbox as you explore other strategies for data analysis.",1632142894268,['565'],['74118222'],['en'],[],[],['VerifiedCert'],v2.ondemand,uHBshxGJEeyInw5_rPIDZw,[],4.7,110,4446,,,4.59,5,13437,,,
Applied Analytics and Data for Decision Making,analytics-data-decisions,business,business-strategy,data-science,data-analysis,"By the end of this course, learners are prepared to identify and test the best solutions for improving performance and integrating concepts from operational excellence methodologies for optimum data-driven decision making. The course begins with a focus on deciphering the root cause of problems through a variety of tools before determining and assessing best-fit solutions. Learners discover how to apply ISO, Lean and Six Sigma in the pursuit of aligning organizational operations data with performance standards. Hospitality, manufacturing and e-commerce case studies help illustrate how to build data literacy while ensuring privacy and data ethics measures are in place. 

Material features online lectures, videos, demos, project work, readings and discussions. This course is ideal for individuals keen on developing a data-driven mindset that derives powerful insights useful for improving a company’s bottom line. It is helpful if learners have some familiarity with reading reports, gathering and using data, and interpreting visualizations. It is the third course in the Data-Driven Decision Making (DDDM) specialization. To learn more about the specialization, check out a video overview at  https://www.youtube.com/watch?v=Oi4mmeSWcVc&list=PLQvThJe-IglyYljMrdqwfsDzk56ncfoLx&index=11.",1603132875423,"['458', '117']","['20145078', '70864535']",['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,vTfefpnKEeqXRg45DDUIXQ,['UASLNJnKEeq1fRJUMXK2Fw'],4.4,31,1953,Beginner Level,11,4.33,12,12328,3,,
"Business Intelligence Concepts, Tools, and Applications",business-intelligence-tools,data-science,data-analysis,computer-science,software-development,"This is the fourth course in the Data Warehouse for Business Intelligence specialization. Ideally, the courses should be taken in sequence.  In this course, you will gain the knowledge and skills for using data warehouses for business intelligence purposes and for working as a business intelligence developer. You’ll have the opportunity to work with large data sets in a data warehouse environment and will learn the use of MicroStrategy's Online Analytical Processing (OLAP) and Visualization capabilities to create visualizations and dashboards. 

The course gives an overview of how business intelligence technologies can support decision making across any number of business sectors. These technologies have had a profound impact on corporate strategy, performance, and competitiveness and broadly encompass  decision support systems, business intelligence systems, and visual analytics. Modules are organized around the business intelligence concepts, tools, and applications, and the use of data warehouse for business reporting and online analytical processing, for creating visualizations and dashboards, and for business performance management and descriptive analytics.",1455470492961,['126'],['2962965'],['en'],"['ar', 'fr', 'pt-PT', 'zh-CN', 'it', 'vi', 'ko', 'de', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,7gLccRnoEeWjrA6seF25aw,['wMOijEe0EeWhdBId_NBf7Q'],4.5,606,40665,,22,4.32,36,43703,2,90%,2241
Malaria parasite detection using ensemble learning in Keras,malaria-parasite-detection-ensemble-learning-keras,data-science,machine-learning,computer-science,algorithms,"In this 1-hour long project-based course, you will learn what ensemble learning is and how to implement is using python. You will create deep convolutional neural networks using the Keras library to predict the malaria parasite. You will learn various ways of assessing classification models. You will create an ensemble of deep convolutional neural networks and apply voting in order to combine the best predictions of your models.


Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1610757736742,['565'],['68355864'],['en'],[],[],['VerifiedCert'],v2.ondemand,6FPPb9ZsEeqXtQoJKr-k1Q,[],,,,,,,,3570,,,
